"hdi_rank","country","hdi_1990","hdi_2000","hdi_2010","hdi_2015","hdi_2019","hdi_2020","hdi_2021","hdi_2022","rank_change_2015_2022","avg_growth_1990_2000","avg_growth_2000_2010","avg_growth_2010_2022","avg_growth_1990_2022","tier_hdi","iso3c"
1,"Switzerland",0.85,0.885,0.94,0.952,0.96,0.957,0.965,0.967,0,0.404328164884271,0.604743537446506,0.236267173609628,0.4038198701805,"Very High","CHE"
2,"Norway",0.845,0.914,0.938,0.952,0.961,0.963,0.964,0.966,-1,0.788028166853239,0.259529972991968,0.245416364209028,0.41908573988827,"Very High","NOR"
3,"Iceland",0.834,0.895,0.927,0.948,0.958,0.955,0.957,0.959,0,0.708400528389341,0.351916249196393,0.283212869686689,0.437383970323757,"Very High","ISL"
4,"Hong Kong, China (SAR)",0.739,0.831,0.914,0.936,0.953,0.955,0.959,0.956,2,1.18022912388975,0.956553774585744,0.375096245043482,0.807807776860225,"Very High","HKG"
5,"Denmark",0.839,0.89,0.913,0.936,0.946,0.946,0.947,0.952,1,0.591852127181269,0.25546994844936,0.349184518616275,0.395637864420317,"Very High","DNK"
5,"Sweden",0.808,0.903,0.91,0.937,0.947,0.944,0.949,0.952,0,1.11780623339881,0.0772502836129396,0.376711407791475,0.513824876283819,"Very High","SWE"
7,"Germany",0.828,0.89,0.929,0.941,0.951,0.948,0.948,0.95,-3,0.724696389599844,0.429793736235107,0.186450651644021,0.430451386349473,"Very High","DEU"
7,"Ireland",0.743,0.851,0.908,0.924,0.942,0.945,0.946,0.95,8,1.36641207025396,0.65042865970939,0.377524217465552,0.770975389487694,"Very High","IRL"
9,"Singapore",0.78,0.863,0.921,0.935,0.945,0.942,0.942,0.949,-1,1.01633769621314,0.652573494320485,0.249884712328829,0.614740819736714,"Very High","SGP"
10,"Australia",0.864,0.896,0.924,0.933,0.941,0.948,0.949,0.946,-1,0.364338546876875,0.308190520155382,0.196279855636239,0.283744921806584,"Very High","AUS"
10,"Netherlands",0.847,0.892,0.917,0.932,0.941,0.938,0.941,0.946,1,0.518996524453197,0.276795770823979,0.25979602648627,0.346040700695061,"Very High","NLD"
12,"Belgium",0.814,0.884,0.913,0.924,0.936,0.93,0.938,0.942,3,0.828379195629392,0.323309701603791,0.260918083471084,0.457433386186934,"Very High","BEL"
12,"Finland",0.811,0.887,0.912,0.93,0.939,0.939,0.941,0.942,0,0.899793301309337,0.278336717014316,0.270074750720606,0.469025310422255,"Very High","FIN"
12,"Liechtenstein",NA,0.871,0.916,0.926,0.94,0.933,0.936,0.942,2,NA,0.505014800859338,0.233513134076357,NA,"Very High","LIE"
15,"United Kingdom",0.804,0.863,0.913,0.923,0.933,0.92,0.931,0.94,3,0.71066756030902,0.564800915091923,0.243161782123247,0.489571397737332,"Very High","GBR"
16,"New Zealand",0.812,0.894,0.924,0.933,0.937,0.935,0.936,0.939,-7,0.966696969210568,0.330608272272714,0.134285144920199,0.455142450632584,"Very High","NZL"
17,"United Arab Emirates",0.717,0.79,0.828,0.86,0.933,0.93,0.931,0.937,19,0.974286616645115,0.47090738948723,1.03591321002483,0.839779787823391,"Very High","ARE"
18,"Canada",0.861,0.89,0.911,0.927,0.932,0.928,0.934,0.935,-5,0.331818887059221,0.233486501520042,0.216931891062422,0.257994812997597,"Very High","CAN"
19,"Korea (Republic of)",0.731,0.824,0.89,0.908,0.922,0.922,0.926,0.929,3,1.20477029087607,0.773485389992001,0.358033381151901,0.75186012735049,"Very High","KOR"
20,"Luxembourg",0.793,0.864,0.912,0.914,0.925,0.921,0.927,0.927,-1,0.861182495263635,0.542136482688238,0.136038911521608,0.489099530737058,"Very High","LUX"
20,"United States",0.875,0.894,0.916,0.924,0.933,0.923,0.921,0.927,-5,0.21504978924265,0.243401636993945,0.0995261685516002,0.180568075694554,"Very High","USA"
22,"Austria",0.823,0.87,0.903,0.91,0.92,0.916,0.92,0.926,-1,0.556915148412895,0.372987290441462,0.209817152353087,0.369173629481434,"Very High","AUT"
22,"Slovenia",NA,0.823,0.89,0.903,0.918,0.91,0.916,0.926,1,NA,0.785723351938739,0.330986320039539,NA,"Very High","SVN"
24,"Japan",0.846,0.883,0.903,0.913,0.918,0.917,0.92,0.92,-4,0.428975888636862,0.224224536198991,0.155546820649866,0.262388357387455,"Very High","JPN"
25,"Israel",0.781,0.835,0.887,0.899,0.909,0.906,0.911,0.915,-1,0.670805639852379,0.605961135882516,0.259328032985406,0.496066717651966,"Very High","ISR"
25,"Malta",0.726,0.779,0.862,0.887,0.905,0.901,0.912,0.915,3,0.707098529557215,1.01758478487626,0.498478244535838,0.725664181557129,"Very High","MLT"
27,"Spain",0.762,0.828,0.868,0.889,0.904,0.894,0.904,0.911,0,0.834125589508328,0.472900263272291,0.403739361922373,0.559673922688164,"Very High","ESP"
28,"France",0.79,0.844,0.88,0.893,0.905,0.9,0.906,0.91,-3,0.663386214396922,0.41856768653199,0.279746328812425,0.4428892873233,"Very High","FRA"
29,"Cyprus",0.733,0.797,0.859,0.874,0.901,0.9,0.901,0.907,3,0.840603162018061,0.751955524158632,0.454140842417394,0.667834976902304,"Very High","CYP"
30,"Italy",0.78,0.842,0.88,0.881,0.899,0.892,0.899,0.906,0,0.767793478749712,0.442394620764497,0.242939609286941,0.469050948545924,"Very High","ITA"
31,"Estonia",0.741,0.798,0.864,0.883,0.893,0.891,0.89,0.899,-2,0.743832513231002,0.797807370461467,0.331467021557841,0.605835332317839,"Very High","EST"
32,"Czechia",0.748,0.81,0.872,0.891,0.896,0.891,0.891,0.895,-6,0.799491699139998,0.740278374706427,0.21718796516903,0.562264620658648,"Very High","CZE"
33,"Greece",0.762,0.818,0.874,0.881,0.89,0.887,0.887,0.893,-3,0.711678287686568,0.6643776521436,0.17937906895662,0.496980952599868,"Very High","GRC"
34,"Bahrain",0.733,0.775,0.807,0.859,0.888,0.884,0.884,0.888,3,0.558728371810679,0.405426025878142,0.800252327345441,0.60125671381368,"Very High","BHR"
35,"Andorra",NA,0.815,0.863,0.856,0.865,0.843,0.855,0.884,3,NA,0.573906347009312,0.200553937209014,NA,"Very High","AND"
36,"Poland",0.715,0.794,0.845,0.869,0.88,0.874,0.876,0.881,-2,1.053520036379,0.624473416702354,0.348280078691587,0.654555044344796,"Very High","POL"
37,"Latvia",0.732,0.761,0.827,0.853,0.873,0.873,0.865,0.879,2,0.389284189194483,0.835181716176336,0.5094617207964,0.57352710435381,"Very High","LVA"
37,"Lithuania",0.74,0.769,0.846,0.865,0.886,0.88,0.875,0.879,-2,0.385147627623916,0.958851708211883,0.319388445465285,0.539370365961656,"Very High","LTU"
39,"Croatia",NA,0.764,0.824,0.844,0.866,0.86,0.867,0.878,6,NA,0.758892510403419,0.530368699266481,NA,"Very High","HRV"
40,"Qatar",0.764,0.793,0.829,0.852,0.869,0.863,0.864,0.875,0,0.373249170932777,0.444956338981028,0.451045254220439,0.424825138130447,"Very High","QAT"
40,"Saudi Arabia",0.699,0.746,0.805,0.842,0.862,0.861,0.867,0.875,6,0.652870548666518,0.764071010445733,0.697266402192587,0.704259399735885,"Very High","SAU"
42,"Portugal",0.703,0.793,0.831,0.85,0.864,0.861,0.865,0.874,0,1.21194859157916,0.46916287096328,0.421306517707998,0.682705770192893,"Very High","PRT"
43,"San Marino",0.841,0.875,0.901,0.872,0.861,0.844,0.853,0.867,-10,0.39710865907403,0.293242830595042,-0.320039119744042,0.0951931449646448,"Very High","SMR"
44,"Chile",0.705,0.763,0.813,0.846,0.859,0.849,0.856,0.86,0,0.793735797014739,0.636749467276476,0.469442442161561,0.622978069158164,"Very High","CHL"
45,"Slovakia",NA,0.761,0.841,0.852,0.863,0.86,0.852,0.855,-5,NA,1.00459553970003,0.137676428461964,NA,"Very High","SVK"
45,"Türkiye",0.598,0.669,0.75,0.821,0.842,0.835,0.841,0.855,9,1.1282503338347,1.14944742053107,1.09788519501735,1.12348520463006,"Very High","TUR"
47,"Hungary",0.721,0.773,0.829,0.839,0.854,0.849,0.846,0.851,0,0.698829610359386,0.701862656905705,0.218504819922116,0.519384748160245,"Very High","HUN"
48,"Argentina",0.724,0.78,0.834,0.85,0.853,0.841,0.844,0.849,-6,0.747807491384322,0.67164028144453,0.148658587095807,0.498952498897287,"Very High","ARG"
49,"Kuwait",0.698,0.78,0.811,0.829,0.838,0.826,0.836,0.847,0,1.11693988022654,0.390501823541456,0.362594460092924,0.606461551246174,"Very High","KWT"
50,"Montenegro",NA,NA,0.806,0.827,0.841,0.832,0.84,0.844,1,NA,NA,0.384644131455136,NA,"Very High","MNE"
51,"Saint Kitts and Nevis",NA,NA,0.79,0.829,0.838,0.832,0.832,0.838,-2,NA,NA,0.492753012741831,NA,"Very High","KNA"
52,"Uruguay",0.702,0.754,0.785,0.807,0.818,0.82,0.814,0.83,8,0.717148924082966,0.403726285421646,0.465597075542923,0.524785628520341,"Very High","URY"
53,"Romania",0.709,0.721,0.813,0.813,0.834,0.828,0.825,0.827,3,0.167977031152389,1.20815971667416,0.142381144806736,0.482250253049399,"Very High","ROU"
54,"Antigua and Barbuda",NA,NA,0.808,0.818,0.831,0.82,0.819,0.826,1,NA,NA,0.183774617278853,NA,"Very High","ATG"
55,"Brunei Darussalam",0.779,0.789,0.825,0.832,0.827,0.827,0.824,0.823,-7,0.127634132869558,0.447167478114019,-0.0202245017186242,0.171851103822096,"Very High","BRN"
56,"Russian Federation",0.741,0.733,0.797,0.823,0.839,0.826,0.818,0.821,-3,-0.108490340724599,0.840603162018061,0.247542804696454,0.32089653709737,"Very High","RUS"
57,"Bahamas",0.76,0.788,0.8,0.807,0.802,0.798,0.799,0.82,3,0.362451839564426,0.151250646684287,0.205983626984274,0.237738109252139,"Very High","BHS"
57,"Panama",0.672,0.722,0.775,0.802,0.82,0.809,0.813,0.82,5,0.720249391989536,0.710893842891203,0.471452112373805,0.623957303099276,"Very High","PAN"
59,"Oman",NA,0.702,0.798,0.824,0.841,0.823,0.81,0.819,-7,NA,1.29000158334356,0.216696835652197,NA,"Very High","OMN"
60,"Georgia",NA,0.694,0.763,0.798,0.816,0.807,0.809,0.814,4,NA,0.952367134345211,0.540642347101961,NA,"Very High","GEO"
60,"Trinidad and Tobago",0.656,0.708,0.785,0.812,0.813,0.815,0.804,0.814,-3,0.765750031309409,1.03774383783111,0.302762805416767,0.676652697753055,"Very High","TTO"
62,"Barbados",0.728,0.76,0.792,0.798,0.806,0.803,0.803,0.809,2,0.431100426699227,0.413281246586616,0.177136077962503,0.330224885181507,"Very High","BRB"
63,"Malaysia",0.649,0.726,0.768,0.792,0.805,0.802,0.798,0.807,6,1.12748168057544,0.563981605042585,0.413635914297838,0.683232681049084,"Very High","MYS"
64,"Costa Rica",0.659,0.709,0.769,0.792,0.811,0.811,0.804,0.806,5,0.734000595210737,0.815662981319609,0.392374221598746,0.631234591053209,"Very High","CRI"
65,"Serbia",NA,0.689,0.768,0.794,0.812,0.806,0.804,0.805,3,NA,1.09139738031938,0.39287427115211,NA,"Very High","SRB"
66,"Thailand",0.581,0.663,0.743,0.789,0.801,0.8,0.797,0.803,6,1.32899601327534,1.14572426012736,0.649254153187329,1.01639290359983,"Very High","THA"
67,"Kazakhstan",0.672,0.68,0.766,0.799,0.81,0.806,0.801,0.802,-4,0.118414631296559,1.19801308823242,0.38345362713359,0.554187051909327,"Very High","KAZ"
67,"Seychelles",NA,0.755,0.774,0.797,0.808,0.799,0.795,0.802,-1,NA,0.24885036319906,0.296578378353418,NA,"Very High","SYC"
69,"Belarus",NA,0.708,0.79,0.809,0.81,0.8,0.801,0.801,-11,NA,1.10191537163571,0.115299765858312,NA,"Very High","BLR"
70,"Bulgaria",0.698,0.723,0.79,0.809,0.813,0.802,0.796,0.799,-12,0.352521093146407,0.890175942026028,0.0944445733696453,0.423211279634894,"High","BGR"
71,"Palau",NA,0.747,0.775,0.782,0.792,0.794,0.802,0.797,3,NA,0.36865631409404,0.233536016844038,NA,"High","PLW"
72,"Mauritius",0.62,0.682,0.755,0.791,0.806,0.792,0.79,0.796,-1,0.9576582776887,1.02206871770625,0.441651054491343,0.78393085992523,"High","MUS"
73,"Grenada",NA,NA,0.779,0.786,0.79,0.786,0.788,0.793,0,NA,NA,0.148545017008184,NA,"High","GRD"
74,"Albania",0.649,0.678,0.766,0.797,0.8,0.784,0.785,0.789,-8,0.438102588037825,1.22782545692697,0.246838738961319,0.612284357225401,"High","ALB"
75,"China",0.482,0.586,0.698,0.741,0.775,0.781,0.785,0.788,18,1.97296748893256,1.7643775768156,1.01578262488042,1.54796492850309,"High","CHN"
76,"Armenia",0.658,0.656,0.739,0.769,0.789,0.769,0.774,0.786,2,-0.0304367908809833,1.19849641548582,0.515146268019806,0.557020186434398,"High","ARM"
77,"Mexico",0.666,0.709,0.747,0.769,0.781,0.757,0.757,0.781,1,0.627619891364506,0.523461885258625,0.371605118628438,0.499008041460391,"High","MEX"
78,"Iran (Islamic Republic of)",0.613,0.692,0.756,0.782,0.785,0.779,0.776,0.78,-4,1.21958724291988,0.888477947005484,0.260777296543013,0.755744516030998,"High","IRN"
78,"Sri Lanka",0.641,0.689,0.735,0.76,0.775,0.777,0.783,0.78,6,0.724731701187231,0.648385257043227,0.49642328823114,0.615211143928418,"High","LKA"
80,"Bosnia and Herzegovina",NA,0.656,0.718,0.757,0.78,0.776,0.776,0.779,7,NA,0.90717794217352,0.681826229891613,NA,"High","BIH"
81,"Saint Vincent and the Grenadines",NA,0.691,0.756,0.777,0.789,0.785,0.773,0.772,-5,NA,0.903068806121077,0.174678834755282,NA,"High","VCT"
82,"Dominican Republic",0.579,0.646,0.707,0.739,0.765,0.76,0.756,0.766,12,1.10098700192136,0.906394723978621,0.670164820457653,0.878460049466656,"High","DOM"
83,"Ecuador",0.645,0.684,0.736,0.764,0.758,0.734,0.746,0.765,-1,0.588802676763622,0.735412987233874,0.322566756313192,0.53462880713695,"High","ECU"
83,"North Macedonia",NA,0.676,0.746,0.777,0.787,0.766,0.764,0.765,-7,NA,0.990195553761919,0.209805063655932,NA,"High","MKD"
85,"Cuba",0.684,0.694,0.779,0.765,0.766,0.759,0.742,0.764,-4,0.145245808539651,1.16209127424658,-0.161895946098423,0.346253927302675,"High","CUB"
86,"Moldova (Republic of)",0.688,0.655,0.716,0.749,0.773,0.765,0.767,0.763,5,-0.490329961556091,0.894425606680827,0.531221540522919,0.323864540850205,"High","MDA"
87,"Maldives",NA,0.635,0.692,0.728,0.753,0.737,0.753,0.762,13,NA,0.863314819581817,0.806237732936954,NA,"High","MDV"
87,"Peru",0.62,0.675,0.725,0.758,0.774,0.758,0.755,0.762,-2,0.853554306193116,0.717148924082966,0.415652288129409,0.646540726876577,"High","PER"
89,"Azerbaijan",NA,0.635,0.733,0.751,0.762,0.722,0.738,0.76,1,NA,1.44555557444488,0.301894213778442,NA,"High","AZE"
89,"Brazil",0.62,0.668,0.722,0.752,0.764,0.758,0.756,0.76,0,0.74847412369321,0.780399016147215,0.428358965294273,0.638275084155038,"High","BRA"
91,"Colombia",0.614,0.672,0.732,0.758,0.768,0.756,0.752,0.758,-6,0.906720150270468,0.858889202997282,0.291280664146143,0.660573656593111,"High","COL"
92,"Libya",0.724,0.746,0.774,0.749,0.756,0.737,0.746,0.746,-1,0.299790553959878,0.369142392297195,-0.306581354825564,0.0935881658506554,"High","LBY"
93,"Algeria",0.593,0.652,0.721,0.736,0.742,0.73,0.74,0.745,5,0.953014161857268,1.01102239635664,0.273248320335617,0.715641749301277,"High","DZA"
94,"Turkmenistan",NA,NA,0.699,0.725,0.732,0.731,0.74,0.744,7,NA,NA,0.521273029793612,NA,"High","TKM"
95,"Guyana",0.496,0.57,0.65,0.686,0.711,0.727,0.721,0.742,27,1.40031821817479,1.32202247485802,1.1092477013857,1.26662116081466,"High","GUY"
96,"Mongolia",0.579,0.595,0.7,0.739,0.749,0.74,0.73,0.741,-2,0.272961142112349,1.63846732974342,0.475462504960422,0.773911041432895,"High","MNG"
97,"Dominica",NA,0.721,0.735,0.719,0.745,0.738,0.737,0.74,8,NA,0.19249866052049,0.0565133543271257,NA,"High","DMA"
98,"Tonga",0.64,0.679,0.709,0.723,0.74,0.742,0.738,0.739,5,0.593282502648984,0.433279944723886,0.34595031835567,0.450479574127938,"High","TON"
99,"Jordan",0.622,0.681,0.727,0.738,0.744,0.74,0.736,0.736,-3,0.910340758780026,0.655782613352596,0.102582923619843,0.527291645985239,"High","JOR"
100,"Ukraine",0.731,0.698,0.766,0.764,0.774,0.762,0.755,0.734,-18,-0.460878251586372,0.933965156855154,-0.354977967597481,0.0127994717648017,"High","UKR"
101,"Tunisia",0.566,0.651,0.713,0.724,0.74,0.734,0.729,0.732,1,1.40898963334404,0.913868290696751,0.219399442011259,0.806946011310883,"High","TUN"
102,"Marshall Islands",NA,NA,NA,0.688,0.722,0.727,0.729,0.731,17,NA,NA,NA,NA,"High","MHL"
102,"Paraguay",0.604,0.656,0.7,0.738,0.746,0.742,0.73,0.731,-6,0.82928559010802,0.651307302245119,0.361762157967771,0.598154535496853,"High","PRY"
104,"Fiji",0.63,0.669,0.699,0.716,0.73,0.722,0.715,0.729,2,0.602449880939893,0.439630372366739,0.350805468560167,0.457147723478712,"High","FJI"
105,"Egypt",0.567,0.629,0.667,0.695,0.724,0.729,0.726,0.728,11,1.04312251193293,0.588311687805221,0.731923916741817,0.784126244452876,"High","EGY"
106,"Uzbekistan",NA,0.603,0.675,0.701,0.725,0.716,0.721,0.727,6,NA,1.13434033875428,0.620364561678155,NA,"High","UZB"
107,"Viet Nam",0.492,0.599,0.676,0.697,0.717,0.726,0.718,0.726,7,1.98731819678426,1.21665655566552,0.596412656655998,1.22326928419636,"High","VNM"
108,"Saint Lucia",0.666,0.692,0.731,0.736,0.733,0.724,0.717,0.725,-10,0.383697090487423,0.549780819603463,-0.0686581269732978,0.265608316510191,"High","LCA"
109,"Lebanon",NA,NA,0.749,0.756,0.76,0.742,0.725,0.723,-21,NA,NA,-0.293981702992263,NA,"High","LBN"
110,"South Africa",0.635,0.633,0.675,0.721,0.741,0.722,0.721,0.717,-6,-0.0315407923310862,0.644490647806673,0.504293548816581,0.380255022203046,"High","ZAF"
111,"Palestine, State of",NA,NA,0.688,0.71,0.739,0.715,0.715,0.716,-2,NA,NA,0.332980895687807,NA,"High","PSE"
112,"Indonesia",0.526,0.597,0.667,0.698,0.718,0.712,0.707,0.713,1,1.27420873795387,1.11489850757667,0.557308673079393,0.955095349584001,"High","IDN"
113,"Philippines",0.598,0.635,0.673,0.696,0.714,0.705,0.692,0.71,2,0.602148116289936,0.582895570852027,0.446993050119038,0.537923566440601,"High","PHL"
114,"Botswana",0.587,0.581,0.652,0.688,0.703,0.701,0.68,0.708,5,-0.102687869647067,1.15960999797671,0.689025698854562,0.587403720119339,"High","BWA"
115,"Jamaica",0.664,0.657,0.711,0.712,0.712,0.707,0.704,0.706,-7,-0.105925169562482,0.793011927693898,-0.0587926462633503,0.191849696545043,"High","JAM"
116,"Samoa",NA,0.672,0.704,0.71,0.712,0.712,0.708,0.702,-7,NA,0.46628389213812,-0.0237051243265562,NA,"High","WSM"
117,"Kyrgyzstan",0.637,0.617,0.661,0.689,0.699,0.691,0.696,0.701,1,-0.318498032147607,0.691226175567805,0.490817642803965,0.299629969248816,"High","KGZ"
